SID,SEASON,time,LAT,LON,wind,pressure,DIST2LAND,BASIN,NATURE
2005322S04095,2006,2005-11-18 09:00:00,-4.0,95.0,15.0,1006.0,504,SI,MX
2005322S04095,2006,2005-11-18 12:00:00,-4.2,94.8,15.0,1006.0,534,SI,MX
2005322S04095,2006,2005-11-18 15:00:00,-4.5,94.7,15.0,1006.0,562,SI,MX
2005322S04095,2006,2005-11-18 18:00:00,-4.8,94.5,15.0,1006.0,599,SI,MX
2006012N03081,2006,2006-01-12 00:00:00,2.9,81.1,15.0,1006.0,340,NI,DS
2006012N03081,2006,2006-01-12 03:00:00,2.9,80.8,15.0,1006.0,336,NI,DS
2006012N03081,2006,2006-01-12 06:00:00,3.0,80.5,15.0,1006.0,325,NI,DS
2006012N03081,2006,2006-01-12 09:00:00,3.1,80.2,18.0,1005.0,316,NI,DS
2006012N03081,2006,2006-01-12 12:00:00,3.2,80.0,20.0,1004.0,309,NI,DS
2006012N03081,2006,2006-01-12 15:00:00,3.3,79.8,23.0,1003.0,304,NI,DS
2006012N03081,2006,2006-01-12 18:00:00,3.5,79.5,25.0,1002.0,293,NI,DS
2006012N03081,2006,2006-01-12 21:00:00,3.6,79.2,25.0,1002.0,295,NI,DS
2006012N03081,2006,2006-01-13 00:00:00,3.8,78.9,25.0,1002.0,291,NI,DS
2006012N03081,2006,2006-01-13 03:00:00,4.0,78.5,28.0,1001.0,300,NI,DS
2006012N03081,2006,2006-01-13 06:00:00,4.3,78.1,30.0,1000.0,307,NI,DS
2006012N03081,2006,2006-01-13 09:00:00,4.6,77.6,33.0,999.0,329,NI,DS
2006012N03081,2006,2006-01-13 12:00:00,4.9,77.1,35.0,997.0,359,NI,TS
2006012N03081,2006,2006-01-13 15:00:00,5.3,76.6,38.0,996.0,323,NI,TS
2006012N03081,2006,2006-01-13 18:00:00,5.6,76.3,40.0,994.0,301,NI,TS
2006012N03081,2006,2006-01-13 21:00:00,5.7,75.9,43.0,993.0,310,NI,TS
2006012N03081,2006,2006-01-14 00:00:00,5.7,75.6,45.0,991.0,328,NI,TS
2006012N03081,2006,2006-01-14 03:00:00,5.8,75.1,45.0,991.0,354,NI,TS
2006012N03081,2006,2006-01-14 06:00:00,6.9,74.2,45.0,991.0,338,NI,TS
2006012N03081,2006,2006-01-14 09:00:00,6.9,73.7,45.0,991.0,381,NI,TS
2006012N03081,2006,2006-01-14 12:00:00,6.9,73.3,45.0,991.0,417,NI,TS
2006012N03081,2006,2006-01-14 15:00:00,6.9,72.9,43.0,993.0,455,NI,TS
2006012N03081,2006,2006-01-14 18:00:00,7.0,72.7,40.0,994.0,469,NI,TS
2006012N03081,2006,2006-01-14 21:00:00,7.1,72.3,38.0,996.0,504,NI,TS
2006012N03081,2006,2006-01-15 00:00:00,7.1,71.9,35.0,997.0,545,NI,TS
2006012N03081,2006,2006-01-15 03:00:00,7.0,71.4,33.0,999.0,601,NI,TS
2006012N03081,2006,2006-01-15 06:00:00,6.9,71.0,30.0,1000.0,646,NI,DS
2006012N03081,2006,2006-01-15 09:00:00,6.8,70.5,30.0,1000.0,702,NI,DS
2006012N03081,2006,2006-01-15 12:00:00,6.8,70.1,30.0,1000.0,742,NI,DS
2006012N03081,2006,2006-01-15 15:00:00,6.8,69.7,30.0,1000.0,783,NI,DS
2006012N03081,2006,2006-01-15 18:00:00,6.9,69.3,30.0,1000.0,820,NI,DS
2006012N03081,2006,2006-01-15 21:00:00,7.1,68.9,30.0,1000.0,854,NI,DS
2006012N03081,2006,2006-01-16 00:00:00,7.3,68.6,30.0,1000.0,879,NI,DS
2006012N03081,2006,2006-01-16 03:00:00,7.6,68.3,30.0,1000.0,902,NI,DS
2006012N03081,2006,2006-01-16 06:00:00,7.9,68.0,30.0,1000.0,912,NI,DS
