SID,SEASON,time,LAT,LON,wind,pressure,DIST2LAND,BASIN,NATURE,u850,v850,u200,v200,t850,q850,rvor850,sst,vws,z500_height
2005322S04095,2006,2005-11-18 09:00:00,-4.0,95.0,15.0,1006.0,504,SI,MX,,,,,,,78.543205,302.17035,,
2005322S04095,2006,2005-11-18 12:00:00,-4.2,94.8,15.0,1006.0,534,SI,MX,,,,,,,77.96899,302.17035,,
2005322S04095,2006,2005-11-18 15:00:00,-4.5,94.7,15.0,1006.0,562,SI,MX,,,,,,,76.97289,302.17035,,
2005322S04095,2006,2005-11-18 18:00:00,-4.8,94.5,15.0,1006.0,599,SI,MX,,,,,,,81.37133,302.17035,,
2006012N03081,2006,2006-01-12 00:00:00,2.9,81.1,15.0,1006.0,340,NI,DS,-3.2112122,1.3273621,-8.229309,-1.8078918,290.4912,0.012697209,86.9866,301.44775,5.9170194,5832.5996
2006012N03081,2006,2006-01-12 03:00:00,2.9,80.8,15.0,1006.0,336,NI,DS,-3.5215378,2.034935,-8.924843,-2.3328323,290.349,0.01269426,87.768074,301.4165,7.0175858,5840.6064
2006012N03081,2006,2006-01-12 06:00:00,3.0,80.5,15.0,1006.0,325,NI,DS,-3.701004,2.7659454,-9.483658,-3.203476,290.10718,0.01287537,89.82667,301.35303,8.311021,5849.6323
2006012N03081,2006,2006-01-12 09:00:00,3.1,80.2,18.0,1005.0,316,NI,DS,-0.5734253,1.8634949,-11.644554,-3.9385605,289.91382,0.013327543,97.57554,301.28955,12.717388,5841.9023
2006012N03081,2006,2006-01-12 12:00:00,3.2,80.0,20.0,1004.0,309,NI,DS,2.2377472,0.8204193,-10.93631,-3.97052,289.74976,0.013634281,98.204445,301.23682,14.018162,5833.5605
2006012N03081,2006,2006-01-12 15:00:00,3.3,79.8,23.0,1003.0,304,NI,DS,5.031494,1.5396805,-10.849403,-3.2436981,290.78735,0.012620829,76.0797,301.18604,16.588522,5843.971
2006012N03081,2006,2006-01-12 18:00:00,3.5,79.5,25.0,1002.0,293,NI,DS,3.8369598,2.5226135,-8.975388,-2.0578918,291.18823,0.012451856,81.84923,301.12354,13.606516,5854.917
2006012N03081,2006,2006-01-12 21:00:00,3.6,79.2,25.0,1002.0,295,NI,DS,3.901657,3.459671,-7.395775,-1.0156708,290.84265,0.013088812,90.937584,301.05078,12.386794,5846.667
2006012N03081,2006,2006-01-13 00:00:00,3.8,78.9,25.0,1002.0,291,NI,DS,0.9077606,6.5861816,-6.9294434,-1.4109497,290.7256,0.013327132,89.87899,301.03174,11.197137,5838.239
2006012N03081,2006,2006-01-13 03:00:00,4.0,78.5,28.0,1001.0,300,NI,DS,1.7815323,5.824547,-4.1052246,0.6658249,290.44775,0.013815156,89.08049,300.99854,8.188841,5847.16
2006012N03081,2006,2006-01-13 06:00:00,4.3,78.1,30.0,1000.0,307,NI,DS,10.997101,8.219162,3.2365723,-0.0034942627,290.97852,0.01183221,78.11174,300.8706,11.306541,5849.2495
2006012N03081,2006,2006-01-13 09:00:00,4.6,77.6,33.0,999.0,329,NI,DS,9.376282,8.652405,-6.119255,4.0841675,291.0387,0.013433885,93.84407,300.73584,16.177565,5839.1016
2006012N03081,2006,2006-01-13 12:00:00,4.9,77.1,35.0,997.0,359,NI,TS,-7.392975,-4.5120087,-9.965317,4.9745636,291.53052,0.014001299,89.808914,300.7798,9.829141,5830.229
2006012N03081,2006,2006-01-13 15:00:00,5.3,76.6,38.0,996.0,323,NI,TS,-9.954285,-14.768845,-7.4464874,5.3773193,290.41968,0.014357137,97.45024,300.61182,20.311705,5838.3696
2006012N03081,2006,2006-01-13 18:00:00,5.6,76.3,40.0,994.0,301,NI,TS,-10.548798,-11.674118,-8.871017,6.948044,290.12134,0.013709233,96.96977,300.44287,18.69759,5852.705
2006012N03081,2006,2006-01-13 21:00:00,5.7,75.9,43.0,993.0,310,NI,TS,-10.492142,-12.371277,-6.3409424,8.870956,290.10486,0.013960437,98.33313,300.39575,21.65612,5841.5596
2006012N03081,2006,2006-01-14 00:00:00,5.7,75.6,45.0,991.0,328,NI,TS,1.1934204,-10.486404,-7.3479767,10.284103,289.43604,0.0137524465,100.86438,300.4756,22.458172,5831.765
2006012N03081,2006,2006-01-14 03:00:00,5.8,75.1,45.0,991.0,354,NI,TS,9.639015,-2.8694305,-8.815132,6.299721,288.922,0.012579186,92.63616,300.59473,20.995472,5839.1265
2006012N03081,2006,2006-01-14 06:00:00,6.9,74.2,45.0,991.0,338,NI,TS,3.3463287,-2.506363,-13.067444,2.3094788,289.3689,0.011632901,85.60491,300.89648,17.105679,5858.8774
2006012N03081,2006,2006-01-14 09:00:00,6.9,73.7,45.0,991.0,381,NI,TS,2.0729218,-3.0768127,-8.566345,4.784897,289.6754,0.011910889,81.65219,300.78613,14.304822,5841.6455
2006012N03081,2006,2006-01-14 12:00:00,6.9,73.3,45.0,991.0,417,NI,TS,-0.59306335,-6.369919,-8.594543,7.6138306,290.9077,0.011461225,76.68344,300.79688,16.111143,5828.976
2006012N03081,2006,2006-01-14 15:00:00,6.9,72.9,43.0,993.0,455,NI,TS,-1.3867035,-4.551758,-11.053101,7.306427,290.6891,0.012266375,91.35248,300.83105,15.527824,5843.088
2006012N03081,2006,2006-01-14 18:00:00,7.0,72.7,40.0,994.0,469,NI,TS,-2.076828,-3.3527374,-10.833923,7.245117,290.25952,0.013381469,93.28998,300.94727,13.747772,5855.5176
2006012N03081,2006,2006-01-14 21:00:00,7.1,72.3,38.0,996.0,504,NI,TS,-2.9955063,-3.3237534,-10.371002,4.859909,290.4397,0.013247434,91.370255,301.135,12.821804,5851.388
2006012N03081,2006,2006-01-15 00:00:00,7.1,71.9,35.0,997.0,545,NI,TS,-2.9122314,-1.1951599,-13.122925,3.2071228,290.52222,0.013977905,95.83119,301.17334,11.119278,5846.7744
2006012N03081,2006,2006-01-15 03:00:00,7.0,71.4,33.0,999.0,601,NI,TS,-4.3244476,-0.86170197,-13.457535,1.2411346,290.49023,0.013887992,91.947075,301.31592,10.183172,5859.244
2006012N03081,2006,2006-01-15 06:00:00,6.9,71.0,30.0,1000.0,646,NI,DS,-5.5315857,-1.0712128,-15.590973,-0.935791,290.58716,0.01398786,95.75176,301.41748,10.060299,5873.2944
2006012N03081,2006,2006-01-15 09:00:00,6.8,70.5,30.0,1000.0,702,NI,DS,-2.8265686,-0.25141144,-15.552086,1.2935181,290.59412,0.014290706,98.10527,301.48584,12.819542,5858.921
2006012N03081,2006,2006-01-15 12:00:00,6.8,70.1,30.0,1000.0,742,NI,DS,-1.223114,-0.95700073,-14.683121,2.4974365,290.7788,0.014748048,99.23027,301.52295,13.896219,5844.8535
