sid,time,lat,lon,dlat,dlon,file
2006012N03081,2006-01-12 00:00:00,2.9,81.1,0.10000000000000009,-0.5999999999999943,2006012N03081_2006011200.npy
2006012N03081,2006-01-12 06:00:00,3.0,80.5,0.20000000000000018,-0.5,2006012N03081_2006011206.npy
2006012N03081,2006-01-12 12:00:00,3.2,80.0,0.2999999999999998,-0.5,2006012N03081_2006011212.npy
2006012N03081,2006-01-12 18:00:00,3.5,79.5,0.2999999999999998,-0.5999999999999943,2006012N03081_2006011218.npy
2006012N03081,2006-01-13 00:00:00,3.8,78.9,0.5,-0.8000000000000114,2006012N03081_2006011300.npy
2006012N03081,2006-01-13 06:00:00,4.3,78.1,0.6000000000000005,-1.0,2006012N03081_2006011306.npy
2006012N03081,2006-01-13 12:00:00,4.9,77.1,0.6999999999999993,-0.7999999999999972,2006012N03081_2006011312.npy
2006012N03081,2006-01-13 18:00:00,5.6,76.3,0.10000000000000053,-0.7000000000000028,2006012N03081_2006011318.npy
2006012N03081,2006-01-14 00:00:00,5.7,75.6,1.2000000000000002,-1.3999999999999915,2006012N03081_2006011400.npy
2006012N03081,2006-01-14 06:00:00,6.9,74.2,0.0,-0.9000000000000057,2006012N03081_2006011406.npy
2006012N03081,2006-01-14 12:00:00,6.9,73.3,0.09999999999999964,-0.5999999999999943,2006012N03081_2006011412.npy
2006012N03081,2006-01-14 18:00:00,7.0,72.7,0.09999999999999964,-0.7999999999999972,2006012N03081_2006011418.npy
2006012N03081,2006-01-15 00:00:00,7.1,71.9,-0.1999999999999993,-0.9000000000000057,2006012N03081_2006011500.npy
2006012N03081,2006-01-15 06:00:00,6.9,71.0,-0.10000000000000053,-0.9000000000000057,2006012N03081_2006011506.npy
2006012N03081,2006-01-15 12:00:00,6.8,70.1,0.10000000000000053,-0.7999999999999972,2006012N03081_2006011512.npy
2006012N03081,2006-01-15 18:00:00,6.9,69.3,0.39999999999999947,-0.7000000000000028,2006012N03081_2006011518.npy
2006012N03081,2006-01-16 00:00:00,7.3,68.6,0.6000000000000005,-0.5999999999999943,2006012N03081_2006011600.npy
2006012N03081,2006-01-16 06:00:00,7.9,68.0,0.5,-0.7000000000000028,2006012N03081_2006011606.npy
2006012N03081,2006-01-16 12:00:00,8.4,67.3,0.09999999999999964,-1.2000000000000028,2006012N03081_2006011612.npy
2006012N03081,2006-01-16 18:00:00,8.5,66.1,0.6999999999999993,-1.2999999999999972,2006012N03081_2006011618.npy
2006012N03081,2006-01-17 00:00:00,9.2,64.8,0.6000000000000014,-1.3999999999999986,2006012N03081_2006011700.npy
2006012N03081,2006-01-17 06:00:00,9.8,63.4,0.09999999999999964,-1.2999999999999972,2006012N03081_2006011706.npy
2006012N03081,2006-01-17 12:00:00,9.9,62.1,-0.3000000000000007,-1.1000000000000014,2006012N03081_2006011712.npy
2006012N03081,2006-01-17 18:00:00,9.6,61.0,-0.29999999999999893,-1.1000000000000014,2006012N03081_2006011718.npy
2006012N03081,2006-01-18 00:00:00,9.3,59.9,0.0,-1.1000000000000014,2006012N03081_2006011800.npy
2006012N03081,2006-01-18 06:00:00,9.3,58.8,0.09999999999999964,-1.2999999999999972,2006012N03081_2006011806.npy
2006012N03081,2006-01-18 12:00:00,9.4,57.5,-0.09999999999999964,-1.2999999999999972,2006012N03081_2006011812.npy
2006012N03081,2006-01-18 18:00:00,9.3,56.2,-0.10000000000000142,-1.3000000000000043,2006012N03081_2006011818.npy
2006182N20088,2006-06-30 18:00:00,20.0,88.3,0.3999999999999986,0.0,2006182N20088_2006063018.npy
2006182N20088,2006-07-01 00:00:00,20.4,88.3,0.3000000000000007,0.29999999999999716,2006182N20088_2006070100.npy
2006182N20088,2006-07-01 06:00:00,20.7,88.6,0.0,0.30000000000001137,2006182N20088_2006070106.npy
2006182N20088,2006-07-01 12:00:00,20.7,88.9,-0.1999999999999993,-0.10000000000000853,2006182N20088_2006070112.npy
2006182N20088,2006-07-01 18:00:00,20.5,88.8,-0.10000000000000142,-0.29999999999999716,2006182N20088_2006070118.npy
2006182N20088,2006-07-02 00:00:00,20.4,88.5,0.0,-0.29999999999999716,2006182N20088_2006070200.npy
2006182N20088,2006-07-02 06:00:00,20.4,88.2,0.0,-0.7999999999999972,2006182N20088_2006070206.npy
2006182N20088,2006-07-02 12:00:00,20.4,87.4,0.0,-1.4000000000000057,2006182N20088_2006070212.npy
2006182N20088,2006-07-02 18:00:00,20.4,86.0,0.0,-0.5999999999999943,2006182N20088_2006070218.npy
2006182N20088,2006-07-03 00:00:00,20.4,85.4,0.0,-0.30000000000001137,2006182N20088_2006070300.npy
2006182N20088,2006-07-03 06:00:00,20.4,85.1,0.5,-1.0,2006182N20088_2006070306.npy
2006182N20088,2006-07-03 12:00:00,20.9,84.1,0.10000000000000142,-1.0999999999999943,2006182N20088_2006070312.npy
2006182N20088,2006-07-03 18:00:00,21.0,83.0,0.0,-1.0,2006182N20088_2006070318.npy
2006182N20088,2006-07-04 00:00:00,21.0,82.0,0.5,-1.0,2006182N20088_2006070400.npy
2006182N20088,2006-07-04 06:00:00,21.5,81.0,0.0,-1.5,2006182N20088_2006070406.npy
2006182N20088,2006-07-04 12:00:00,21.5,79.5,0.0,-1.0,2006182N20088_2006070412.npy
2006182N20088,2006-07-04 18:00:00,21.5,78.5,0.0,-0.5,2006182N20088_2006070418.npy
2006214N20088,2006-08-02 06:00:00,20.5,87.5,-0.5,-1.0,2006214N20088_2006080206.npy
2006214N20088,2006-08-02 12:00:00,20.0,86.5,0.0,-0.5,2006214N20088_2006080212.npy
2006214N20088,2006-08-02 18:00:00,20.0,86.0,-0.3000000000000007,-0.7999999999999972,2006214N20088_2006080218.npy
2006214N20088,2006-08-03 00:00:00,19.7,85.2,-0.1999999999999993,-0.20000000000000284,2006214N20088_2006080300.npy
2006214N20088,2006-08-03 06:00:00,19.5,85.0,0.0,-1.0,2006214N20088_2006080306.npy
2006214N20088,2006-08-03 12:00:00,19.5,84.0,0.0,-0.5,2006214N20088_2006080312.npy
2006214N20088,2006-08-03 18:00:00,19.5,83.5,0.0,-0.5,2006214N20088_2006080318.npy
2006214N20088,2006-08-04 00:00:00,19.5,83.0,0.5,-0.5,2006214N20088_2006080400.npy
2006214N20088,2006-08-04 06:00:00,20.0,82.5,1.0,-1.5,2006214N20088_2006080406.npy
2006214N20088,2006-08-04 12:00:00,21.0,81.0,0.0,0.0,2006214N20088_2006080412.npy
2006214N20088,2006-08-04 18:00:00,21.0,81.0,0.0,-0.5,2006214N20088_2006080418.npy
2006224N21088,2006-08-12 06:00:00,21.0,88.0,0.0,-0.5,2006224N21088_2006081206.npy
2006224N21088,2006-08-12 12:00:00,21.0,87.5,1.0,-2.5,2006224N21088_2006081212.npy
2006228N21088,2006-08-16 06:00:00,20.5,87.5,0.0,-0.5,2006228N21088_2006081606.npy
2006228N21088,2006-08-16 12:00:00,20.5,87.0,0.0,-1.0,2006228N21088_2006081612.npy
2006228N21088,2006-08-16 18:00:00,20.5,86.0,1.0,-1.5,2006228N21088_2006081618.npy
2006228N21088,2006-08-17 00:00:00,21.5,84.5,0.5,-1.0,2006228N21088_2006081700.npy
2006228N21088,2006-08-17 06:00:00,22.0,83.5,0.5,-2.5,2006228N21088_2006081706.npy
2006228N21088,2006-08-17 12:00:00,22.5,81.0,0.0,-0.5,2006228N21088_2006081712.npy
2006228N21088,2006-08-17 18:00:00,22.5,80.5,0.0,-1.5,2006228N21088_2006081718.npy
2006241N20088,2006-08-29 06:00:00,20.5,86.5,0.5,-2.0,2006241N20088_2006082906.npy
2006241N20088,2006-08-29 12:00:00,21.0,84.5,0.0,-0.5,2006241N20088_2006082912.npy
2006241N20088,2006-08-29 18:00:00,21.0,84.0,0.0,-1.0,2006241N20088_2006082918.npy
2006241N20088,2006-08-30 00:00:00,21.0,83.0,1.5,-0.5,2006241N20088_2006083000.npy
2006241N20088,2006-08-30 06:00:00,22.5,82.5,0.0,-1.5,2006241N20088_2006083006.npy
2006241N20088,2006-08-30 12:00:00,22.5,81.0,0.0,0.0,2006241N20088_2006083012.npy
2006241N20088,2006-08-30 18:00:00,22.5,81.0,0.5,-1.0,2006241N20088_2006083018.npy
2006241N20088,2006-08-31 00:00:00,23.0,80.0,1.0,-2.0,2006241N20088_2006083100.npy
2006241N20088,2006-08-31 06:00:00,24.0,78.0,0.0,0.0,2006241N20088_2006083106.npy
2006264N23087,2006-09-21 06:00:00,23.0,86.5,0.0,0.0,2006264N23087_2006092106.npy
2006264N23087,2006-09-21 12:00:00,23.0,86.5,0.0,0.0,2006264N23087_2006092112.npy
2006264N23087,2006-09-21 18:00:00,23.0,86.5,0.5,-0.5,2006264N23087_2006092118.npy
2006264N23087,2006-09-22 00:00:00,23.5,86.0,0.0,0.0,2006264N23087_2006092200.npy
2006264N23087,2006-09-22 06:00:00,23.5,86.0,0.0,0.0,2006264N23087_2006092206.npy
2006264N23087,2006-09-22 12:00:00,23.5,86.0,0.0,0.0,2006264N23087_2006092212.npy
2006264N23087,2006-09-22 18:00:00,23.5,86.0,0.0,0.0,2006264N23087_2006092218.npy
2006264N23087,2006-09-23 00:00:00,23.5,86.0,0.0,-0.5,2006264N23087_2006092300.npy
2006264N23087,2006-09-23 06:00:00,23.5,85.5,0.0,0.0,2006264N23087_2006092306.npy
2006264N23087,2006-09-23 12:00:00,23.5,85.5,0.0,0.0,2006264N23087_2006092312.npy
2006271N18089,2006-09-28 00:00:00,17.7,89.4,0.3000000000000007,-0.9000000000000057,2006271N18089_2006092800.npy
