SID,ISO_TIME,LAT,LON,BASIN
2006012N03081,2006-01-12 00:00:00,2.9,81.1,NI
2006012N03081,2006-01-12 06:00:00,3.0,80.5,NI
2006012N03081,2006-01-12 12:00:00,3.2,80.0,NI
2006012N03081,2006-01-12 18:00:00,3.5,79.5,NI
2006012N03081,2006-01-13 00:00:00,3.8,78.9,NI
2006012N03081,2006-01-13 06:00:00,4.3,78.1,NI
2006012N03081,2006-01-13 12:00:00,4.9,77.1,NI
2006012N03081,2006-01-13 18:00:00,5.6,76.3,NI
2006012N03081,2006-01-14 00:00:00,5.7,75.6,NI
2006012N03081,2006-01-14 06:00:00,6.9,74.2,NI
2006012N03081,2006-01-14 12:00:00,6.9,73.3,NI
2006012N03081,2006-01-14 18:00:00,7.0,72.7,NI
2006012N03081,2006-01-15 00:00:00,7.1,71.9,NI
2006012N03081,2006-01-15 06:00:00,6.9,71.0,NI
2006012N03081,2006-01-15 12:00:00,6.8,70.1,NI
2006012N03081,2006-01-15 18:00:00,6.9,69.3,NI
2006012N03081,2006-01-16 00:00:00,7.3,68.6,NI
2006012N03081,2006-01-16 06:00:00,7.9,68.0,NI
2006012N03081,2006-01-16 12:00:00,8.4,67.3,NI
2006012N03081,2006-01-16 18:00:00,8.5,66.1,NI
2006012N03081,2006-01-17 00:00:00,9.2,64.8,NI
2006012N03081,2006-01-17 06:00:00,9.8,63.4,NI
2006012N03081,2006-01-17 12:00:00,9.9,62.1,NI
2006012N03081,2006-01-17 18:00:00,9.6,61.0,NI
2006012N03081,2006-01-18 00:00:00,9.3,59.9,NI
2006012N03081,2006-01-18 06:00:00,9.3,58.8,NI
2006012N03081,2006-01-18 12:00:00,9.4,57.5,NI
2006012N03081,2006-01-18 18:00:00,9.3,56.2,NI
2006012N03081,2006-01-19 00:00:00,9.2,54.9,NI
2006012N03081,2006-01-19 06:00:00,8.9,53.6,NI
2006114N08090,2006-04-24 06:00:00,8.4,90.1,NI
2006114N08090,2006-04-24 12:00:00,8.6,89.7,NI
2006114N08090,2006-04-24 18:00:00,9.0,89.5,NI
2006114N08090,2006-04-25 00:00:00,9.3,89.7,NI
2006114N08090,2006-04-25 06:00:00,9.6,89.9,NI
2006114N08090,2006-04-25 12:00:00,10.0,89.6,NI
2006114N08090,2006-04-25 18:00:00,10.2,89.7,NI
2006114N08090,2006-04-26 00:00:00,10.4,89.7,NI
2006114N08090,2006-04-26 06:00:00,11.1,89.8,NI
2006114N08090,2006-04-26 12:00:00,11.7,90.3,NI
2006114N08090,2006-04-26 18:00:00,12.1,90.4,NI
2006114N08090,2006-04-27 00:00:00,12.0,90.2,NI
2006114N08090,2006-04-27 06:00:00,12.5,90.2,NI
2006114N08090,2006-04-27 12:00:00,13.0,90.5,NI
2006114N08090,2006-04-27 18:00:00,13.3,90.8,NI
2006114N08090,2006-04-28 00:00:00,14.1,91.4,NI
2006114N08090,2006-04-28 06:00:00,15.0,92.1,NI
2006114N08090,2006-04-28 12:00:00,15.6,92.7,NI
2006114N08090,2006-04-28 18:00:00,16.2,93.2,NI
2006114N08090,2006-04-29 00:00:00,16.7,93.7,NI
2006114N08090,2006-04-29 06:00:00,17.5,94.5,NI
2006182N20088,2006-06-30 18:00:00,20.0,88.3,NI
2006182N20088,2006-07-01 00:00:00,20.4,88.3,NI
2006182N20088,2006-07-01 06:00:00,20.7,88.6,NI
2006182N20088,2006-07-01 12:00:00,20.7,88.9,NI
2006182N20088,2006-07-01 18:00:00,20.5,88.8,NI
2006182N20088,2006-07-02 00:00:00,20.4,88.5,NI
2006182N20088,2006-07-02 06:00:00,20.4,88.2,NI
2006182N20088,2006-07-02 12:00:00,20.4,87.4,NI
2006182N20088,2006-07-02 18:00:00,20.4,86.0,NI
2006182N20088,2006-07-03 00:00:00,20.4,85.4,NI
2006182N20088,2006-07-03 06:00:00,20.4,85.1,NI
2006182N20088,2006-07-03 12:00:00,20.9,84.1,NI
2006182N20088,2006-07-03 18:00:00,21.0,83.0,NI
2006182N20088,2006-07-04 00:00:00,21.0,82.0,NI
2006182N20088,2006-07-04 06:00:00,21.5,81.0,NI
2006182N20088,2006-07-04 12:00:00,21.5,79.5,NI
2006182N20088,2006-07-04 18:00:00,21.5,78.5,NI
2006182N20088,2006-07-05 00:00:00,21.5,78.0,NI
2006182N20088,2006-07-05 06:00:00,22.0,77.5,NI
2006214N20088,2006-08-02 06:00:00,20.5,87.5,NI
2006214N20088,2006-08-02 12:00:00,20.0,86.5,NI
2006214N20088,2006-08-02 18:00:00,20.0,86.0,NI
2006214N20088,2006-08-03 00:00:00,19.7,85.2,NI
