SID,NAME,BASIN
 ,, 
1980001S13173,PENI,SP
1980002S15081,DANITZA,SI
1980003S15137,PAUL,SP
1980005S11059,EGLANTINE,SI
1980005S14120,AMY,SI
1980009S14066,FLORE,SI
1980010S20043,UNNAMED,SI
1980010S22048,UNNAMED,SI
1980015S18060,HYACINTHE,SI
1980018S10130,BRIAN,SI
1980021S10090,CLARA,SI
1980024S11076,IVANNE,SI
1980027S11129,DEAN,SI
1980032S14071,JACINTHE,SI
1980033S12161,RAE,SP
1980042S17149,RUTH,SP
1980043S16131,ENID,SI
1980051S12102,FRED,SI
1980052S16155,SIMON,SP
1980056S15059,KOLIA,SI
1980068S13068,LAURE,SI
1980069S12161,SINA,SP
1980073S09133,DORIS:GLORIA,SI
1980075S11072,UNNAMED,SI
1980076N06148,UNNAMED,WP
1980081S12170,TIA,SP
1980082S19118,UNNAMED,SI
1980085S09170,VAL,SP
1980085S11135,UNNAMED,SI
1980088S14140,UNNAMED,SP
1980092S15183,WALLY,SP
1980094N02179,CARMEN,WP
1980126N08150,DOM,WP
1980133N07149,ELLEN,WP
1980137N04158,FORREST,WP
1980140N16116,GEORGIA,WP
1980161N09249,AGATHA,EP
1980169N12250,BLAS,EP
1980171N06142,HERBERT,WP
1980177N13259,CELIA,EP
1980181N10130,UNNAMED,WP
1980183N13250,DARBY,EP
1980187N09146,IDA,WP
1980194N16252,ESTELLE,EP
1980197N07154,JOE,WP
1980197N15133,UNNAMED,WP
1980199N31284,UNNAMED,
1980200N13249,FRANK,EP
1980200N25270,UNNAMED,
1980201N08155,KIM,WP
1980204N23287,UNNAMED,
1980208N23153,LEX,WP
1980210N17251,GEORGETTE,EP
1980213N11256,HOWARD,EP
1980214N11330,ALLEN,
1980219N15165,MARGE,WP
1980219N15258,ISIS,EP
1980225N11145,UNNAMED,WP
1980226N15339,UNNAMED,
1980227N13325,BONNIE,
1980234N36287,CHARLEY,
1980236N13255,JAVIER,EP
1980236N15144,NORRIS,WP
1980238N16328,UNNAMED,
1980240N17119,UNNAMED,WP
1980243N09134,UNNAMED,WP
1980245N16322,GEORGES,
1980246N05151,ORCHID,WP
1980248N11114,UNNAMED,WP
1980249N18336,EARL,
1980249N28269,DANIELLE,
1980250N13341,FRANCES,
1980254N14112,RUTH,WP
1980256N10154,SPERRY,WP
1980257N17133,PERCY,WP
1980260N13256,KAY,EP
1980265N15283,HERMINE,
1980266N16257,LESTER,EP
1980269N15147,THELMA,WP
1980270N13165,VERNON,WP
1980275N34340,IVAN,
1980277N09157,WYNNE,WP
1980282N19162,ALEX,WP
1980284N09092,UNNAMED,NI
1980285N13252,MADELINE,EP
1980290N10088,UNNAMED,NI
1980290N16275,UNNAMED,
1980296N05165,BETTY,WP
1980300N08137,CARY,WP
1980302N17250,NEWTON,EP
1980308S05102,ADELAIDE:ALICE,SI
1980313N14277,JEANNE,
1980317N09118,UNNAMED,WP
1980317N11075,UNNAMED,NI
1980318N13280,UNNAMED,
1980323N04180,DINAH,EP
1980327S09082,BETTINA,SI
1980329S08095,BERT:CHRISTE,SI
1980330N36314,KARL,
1980332S16214,DIOLA,SP
1980338N09085,UNNAMED,NI
1980345N09092,UNNAMED,NI
1980347S11122,CAROL,SI
1980348S11116,CAROL,SI
1980349N10138,ED,WP
1980349S09100,DAN,SI
1980352S13059,DIANA,SI
1980355S10117,EDNA,SI
1980357S11127,FELIX,SI
1980364S22036,EDWIG,SI
1981003S11059,FLORINE,SI
1981011S12185,ARTHUR,SP
1981012S12110,MABEL,SI
1981015S09078,GAELLE,SI
1981016S15080,GAELLE,SI
1981022S13155,UNNAMED,SP
1981028S12069,HELYETTE,SI
1981030S17190,BETSY,SP
1981039S09178,CLIFF,SP
1981039S14153,EDDIE,SP
1981047S18181,UNNAMED,SP
1981048S12055,IADINE,SI
1981051S14181,DAMAN,SP
1981054S12181,UNNAMED,SP
1981055S19120,NEIL,SI
1981056S14141,FREDA,SP
1981060S06176,ESAU,SP
1981061S22047,JOHANNE,SI
1981068S19199,TAHMAR,SP
1981069S12135,MAX,SP
1981070N03173,FREDA,WP
1981077S13198,FRAN,SP
1981086S16183,UNNAMED,SP
1981087S07057,KLARA,SI
1981094S06094,OLGA,SI
1981096S14059,LISA,SI
1981097N21299,UNNAMED,
1981102N04162,GERALD,WP
1981109N15147,GERALD,WP
1981110N11281,UNNAMED,
1981118N04164,HOLLY,WP
1981127N18276,ARLENE,
1981142S08091,PADDY,SI
1981151N11255,ADRIAN,EP
1981154N19266,UNNAMED,
1981158N17119,IKE,WP
1981166N11135,JUNE,WP
1981169N20268,UNNAMED,
1981176N08150,KELLY,WP
1981178N05160,LYNN,WP
1981180N11257,BEATRIZ,EP
1981181N36295,BRET,
1981183N24281,UNNAMED,
1981186N13258,CALVIN,EP
1981192N13253,DORA,EP
1981195N11138,MAURY,WP
1981198N18253,EUGENE,EP
1981201N26147,UNNAMED,WP
1981202N24123,NINA,WP
1981206N23268,UNNAMED,
1981207N22150,OGDEN,WP
1981207S12087,UNNAMED,SI
1981212N17142,PHYLLIS,WP
1981212N18142,UNNAMED,WP
1981214N13113,ROY,WP
1981214N16133,UNNAMED,WP
1981215N36292,CINDY,
1981218N20168,SUSAN,WP
1981219N11334,DENNIS,
1981219N12255,FERNANDA,EP
1981225N16249,GREG,EP
1981226N16119,WARREN,WP
1981226N17142,VANESSA,WP
1981227N18129,THAD,WP
1981229N13327,UNNAMED,
1981234N18253,HILARY,EP
1981237N16148,AGNES,WP
1981239N21267,UNNAMED,
1981240N17257,IRWIN,EP
1981244N30287,EMILY,
1981245N23161,BILL,WP
1981247N16300,FLOYD,
1981250N15306,GERT,
1981255N12286,UNNAMED,
1981255N14311,HARVEY,
1981256N10150,CLARA,WP
1981258N15237,JOVA,EP
1981261N25174,DOYLE,WP
1981262N16256,KNUT,EP
1981265N14117,UNNAMED,WP
1981265N14328,IRENE,
1981266N09151,ELSIE,WP
1981269N08322,UNNAMED,
1981277N20116,UNNAMED,WP
1981280N20250,LIDIA,EP
1981281N15245,MAX,EP
1981282N15256,NORMA,EP
1981283N07132,FABIAN,WP
1981286N10150,GAY,WP
1981291S05081,ALEX,SI
1981297N11261,OTIS,EP
1981298N07083,UNNAMED,NI
1981303N25313,JOSE,
1981306S03096,ARMELLE:BESSI,SI
1981307N17279,KATRINA,
1981311N08119,UNNAMED,WP
1981317N14153,HAZEN,WP
1981317N31286,UNNAMED,
1981319N07163,IRMA,WP
1981321N13092,UNNAMED,NI
1981324N08158,JEFF,WP
1981335S16139,AMELIA,SP
1981337S11133,AMELIA,SI
1981339N11089,UNNAMED,NI
1981343N05150,KIT,WP
1981351S12060,BENEDICTE,SI
1981353S09172,GYAN,SP
1981354S12140,UNNAMED,SP
1981355N07149,LEE,WP
1981363S10079,CLARISSEE,SI
1982005S10105,CHRIS:DAMIA,SI
1982011S07094,DAPHNE:FIFI,SI
1982011S11141,BRUNO,SP
1982011S12119,ERROL,SI
1982022S26154,ABIGAIL,SP
1982024S18166,HETTIE,SP
1982027S16120,GRAHAM,SI
1982030S15065,ELECTRE,SI
1982031S20048,FRIDA,SI
1982035S13141,CORAL,SP
1982036S16060,GABRIELLE,SI
1982043S12073,HEBERTE,SI
1982043S12104,HARRIET,SI
1982054S13123,IAN,SI
1982054S23036,UNNAMED,SI
1982054S23052,ISABEAU,SI
1982058S10185,ISAAC,SP
1982073N07153,MAMIE,WP
1982075S11096,UNNAMED,SI
1982075S12055,JUSTINE,SI
1982077N04161,NELSON,WP
1982087N04157,ODESSA,WP
1982091S03159,BERNIE,SP
1982095S11138,DOMINIC,SP
1982113S06085,KARLA,SI
1982120N11083,UNNAMED,NI
1982131S09157,CLAUDIA,SP
1982136N08140,PAT,WP
1982140N11255,ALETTA,EP
1982150N13087,UNNAMED,NI
1982152N13264,UNNAMED,EP
1982154N22273,ALBERTO,
1982164N08237,UNNAMED,EP
1982167N13255,BUD,EP
1982168N13266,UNNAMED,EP
1982168N23090,UNNAMED,NI
1982169N09149,RUBY,WP
1982169N26274,UNNAMED,
1982176N18114,TESS:VAL,WP
1982179N19128,SKIP,WP
