model,lead_time,samples,mae_lat_deg,mae_lon_deg,mae_km
cnn_mlp,6h,477,0.10421120935716768,0.1348220712372528,20.32119632759821
cnn_mlp,12h,447,0.19360291158330684,0.25318663925617835,37.77648184540563
cnn_mlp,24h,389,0.36017252171027125,0.47188367233979683,69.89189402402182
cnn_mlp,48h,300,0.6620151054800378,0.8635009566403347,127.50937586057204
gru_motion,6h,477,0.2817590364255476,0.3539757410385524,53.376251110994595
gru_motion,12h,447,0.5510437712941094,0.6914136080767441,104.38635722726563
gru_motion,24h,389,1.081359931732944,1.3804426160740924,205.73359126504354
gru_motion,48h,300,2.071556704193275,2.7811454078396505,404.0362655213324
gru_fusion,6h,477,0.33482116870974976,0.32292870174927807,56.44010157455094
gru_fusion,12h,447,0.6633988619489478,0.6231995190470158,110.56918170182088
gru_fusion,24h,389,1.3188885573541163,1.2221838617871768,217.7552331076929
gru_fusion,48h,300,2.559025855123672,2.4614245642305144,427.04991225148075
cnn_gru,6h,477,0.2673292230633796,0.3911497032230292,56.7486192500452
cnn_gru,12h,447,0.4949997967848617,0.7398244049015351,106.95265784624998
cnn_gru,24h,389,0.9241259003062173,1.3746855341771724,199.8970155797255
cnn_gru,48h,300,1.6469785429155943,2.4470478483682268,356.27127795509284
